N,Total evaluations,Parameter,S1,S1 confidence,ST,ST confidence,Runtime seconds
128,768,CL,1.015018678717966,0.4483928551926513,1.239162083931529,0.3755197169717721,3.357161958
128,768,Q,-0.004935779889881965,0.0166679935603895,0.00894282919591093,0.009594614471664301,3.357161958
128,768,V1,-0.002213267084328646,0.0037794615428482716,0.0005702393360431697,0.0008170296138197848,3.357161958
128,768,V2,0.06848919590643475,0.06399220147075298,0.1604591414900212,0.10483718632384355,3.357161958
256,1536,CL,0.912039780037225,0.3351076389268842,1.119725616893479,0.2749186009464212,6.659756750000001
256,1536,Q,0.009568960053853477,0.027650127975744575,0.012537335966169115,0.010637135057253042,6.659756750000001
256,1536,V1,-0.002043848950366161,0.002596629480477697,0.0006263235421081335,0.0005067803766896473,6.659756750000001
256,1536,V2,0.03377700980302601,0.04339025548417288,0.13625831011315187,0.07338301444692068,6.659756750000001
512,3072,CL,0.8523615452805222,0.194292830629264,1.023778596945527,0.1611425209391864,13.293853124999998
512,3072,Q,0.00995923967412812,0.01696489257994025,0.019485441345754206,0.01593707392411162,13.293853124999998
512,3072,V1,0.00026941698355781096,0.0022452189913920537,0.0006786589238246803,0.0004467463355146207,13.293853124999998
512,3072,V2,0.04631688148964318,0.032019722163156225,0.13600213747178946,0.05453610987988566,13.293853124999998
1024,6144,CL,0.8342423747342111,0.12203367355761376,0.9819464039429703,0.1266233789952836,26.598148416999997
1024,6144,Q,0.003061665604014054,0.011090388579355586,0.013884081633431411,0.009339369593216063,26.598148416999997
1024,6144,V1,5.995842040695248e-05,0.0012627476640374956,0.0005901097062411892,0.0003046962670787714,26.598148416999997
1024,6144,V2,0.030927370451186584,0.02844710863221701,0.1487928451460203,0.04790487138945664,26.598148416999997
2048,12288,CL,0.8340449294926057,0.0964800971114707,0.9504979353133015,0.08948251058257725,53.193506875
2048,12288,Q,0.004989326594903309,0.009976131947577892,0.01341502331796378,0.005735452828763525,53.193506875
2048,12288,V1,-0.00013247681589273437,0.0010128191067807902,0.0005585193075233341,0.00019517719719339176,53.193506875
2048,12288,V2,0.030609899096444137,0.02195914055767338,0.16523439618341712,0.042476991347450845,53.193506875
