Starting point,Initial CL,Initial Q,Initial V1,Initial V2,Fitted CL,Fitted Q,Fitted V1,Fitted V2,RMSE,Success
Start 4,4.0,4.0,4.0,4.0,0.5000000000000748,0.19999999999992096,9.999999999999993,14.999999999987859,1.4721006557137032e-14,True
Start 3,2.0,2.0,10.0,15.0,0.5000000000003019,0.19999999999970863,9.999999999999993,14.99999999994534,2.916854967997614e-14,True
Start 2,0.25,0.1,12.0,20.0,0.4999999999981047,0.20000000000184504,10.000000000000012,15.000000000322833,7.946623320411606e-14,True
Start 1,1.0,0.5,8.0,15.0,0.5000000046291294,0.19999999549305456,9.999999999874397,14.999999208550568,1.8388146024230936e-10,True
